id,age_in_days,activity_in_days,hp_overlap_rate,n_ips_reported
770,311,267,0.25,578
16691,213,191,0.13,615
68072,62,46,0.26,89
101933,1,1,0.0,1
100511,1,1,0.0,1
60813,78,63,0.21,429
100655,1,1,0.0,2
89060,23,20,0.23,53
37217,111,111,0.24,1669
1029,293,127,0.08,2842
45104,112,112,0.08,2414
97047,6,3,0.38,13
100951,1,1,0.0,1
91205,26,26,0.59,110
49526,101,101,0.06,5480
76025,44,44,0.16,374
761,313,307,0.16,2382
79853,39,26,0.47,32
6362,254,240,0.11,5606
77081,43,43,0.39,370
15866,215,209,0.17,854
94143,25,23,0.13,30
86783,31,29,0.11,53
4515,265,259,0.13,1585
34478,134,132,0.4,497
100447,1,1,0.0,2
13160,224,212,0.23,871
92,380,363,0.25,2502
21806,194,165,0.44,309
94175,25,25,0.11,278
31442,143,142,0.13,749
71636,53,53,0.19,540
94638,25,25,0.39,132
39560,121,121,0.52,363
90548,27,27,0.51,89
91535,26,22,0.45,47
87575,12,12,0.23,26
79656,40,40,0.29,154
98037,15,15,0.03,285
78236,42,38,0.33,51
785,311,212,0.17,1375
76192,44,42,0.16,770
75860,44,44,0.34,565
101633,21,7,0.0,6
91601,8,6,0.0,7
49757,101,101,0.25,421
3899,274,254,0.16,2723
100181,8,4,0.75,12
101508,1,1,0.0,1
99789,19,10,0.4,10
2072,287,108,0.57,92
67973,62,60,0.19,64
76685,44,44,0.04,2053
55829,72,72,0.1,876
84473,33,33,0.53,104
36854,128,75,0.3,105
6626,251,233,0.18,2294
96254,25,23,0.1,62
101615,23,21,0.71,41
82494,37,37,0.43,83
83351,35,35,0.29,253
100952,1,1,0.0,2
96386,24,21,0.18,68
29891,152,152,0.12,1288
45500,110,110,0.13,975
101511,1,1,0.0,1
100646,1,1,0.0,1
101616,1,1,0.0,1
95264,25,25,0.04,309
20,407,385,1.0,6405
100960,23,12,0.33,21
58,396,351,0.15,3944
75101,45,45,0.2,600
101567,12,7,0.14,7
82362,37,37,0.2,123
67874,62,61,0.33,276
721,317,240,0.27,501
35039,112,46,0.0,44
86453,31,31,0.0,12179
65663,66,66,0.07,652
81899,37,37,0.2,203
382,358,351,0.04,3580
47018,107,107,0.18,850
11543,228,219,0.14,1454
86784,31,31,0.08,153
93482,26,26,0.12,188
100842,23,23,0.05,79
22598,186,176,0.24,612
78863,41,41,0.34,403
77016,43,43,0.02,653
100248,23,23,0.05,97
1611,289,244,0.47,967
99888,1,1,0.0,2
39989,102,102,0.34,245
101046,1,1,0.0,1
493,343,332,0.28,1465
84935,33,33,0.08,542
54146,91,76,0.2,356
101171,23,23,0.12,211
100352,23,23,0.39,71
94043,25,25,0.08,36
97477,24,21,0.2,45
67907,62,55,0.35,143
69128,60,55,0.28,427
71934,52,52,0.01,1046
60581,78,61,0.3,104
34874,133,130,0.53,404
69591,59,59,0.23,860
95863,25,22,0.35,40
101337,1,1,0.0,1
99920,7,3,0.88,8
28373,158,156,0.15,1127
49427,102,102,0.08,566
99884,1,1,0.0,2
672,324,318,0.35,1647
63386,73,73,0.11,570
101963,23,23,0.36,122
101618,1,1,0.0,1
83747,35,35,0.2,1253
51770,96,96,0.05,1187
4259,267,258,0.41,739
101047,1,1,0.0,1
77313,43,31,0.54,35
78005,42,42,0.15,903
625,329,316,0.31,820
73913,48,48,0.1,858
96452,9,7,0.62,13
28670,155,123,0.43,127
71966,52,42,0.1,209
100280,5,3,0.35,20
99653,14,14,0.36,45
100216,9,6,0.29,35
101909,1,1,0.0,2
95298,25,25,0.13,228
74210,47,47,0.08,236
66356,64,58,0.28,240
66488,65,18,0.24,54
81437,38,29,0.11,9
30287,150,146,0.18,913
34577,133,110,0.21,150
48734,100,100,0.1,440
96947,24,24,0.12,369
101941,1,1,0.0,1
67,381,367,0.06,1342
82197,37,37,0.15,242
75926,44,41,0.66,163
95826,23,23,0.02,55
603,331,325,0.26,2193
76256,44,41,0.14,128
41277,117,100,0.22,2226
39461,122,93,0.27,160
25832,166,151,0.54,192
97838,24,18,0.14,28
87476,30,26,0.09,102
91141,26,26,0.42,165
17780,212,197,0.32,990
26,407,385,1.0,5556
58898,82,81,0.08,702
56457,87,87,0.19,479
77378,43,43,0.18,148
101936,1,1,0.0,2
100808,2,2,0.0,1
98566,3,3,0.04,27
11609,228,222,0.15,1219
79292,41,41,0.27,294
35700,131,65,0.4,82
18638,207,201,0.4,823
101733,22,22,0.26,101
94307,25,24,0.16,56
159,390,383,0.15,5337
101996,22,22,0.51,61
101906,1,1,0.0,2
39725,121,104,0.36,364
75959,44,44,0.39,199
39692,121,120,0.34,404
88829,29,21,0.26,23
81965,25,25,0.42,236
27812,159,117,0.21,212
77543,43,43,0.29,415
10190,238,208,0.38,230
72989,51,51,0.2,535
98960,23,23,0.02,2951
633,327,317,0.19,2802
68666,61,61,0.09,721
74243,47,42,0.1,103
97871,24,24,0.19,99
67742,63,63,0.15,1014
60284,79,79,0.24,454
101369,1,1,0.0,1
52496,94,90,0.08,277
101575,1,1,0.0,1
100351,5,5,0.05,20
91142,26,26,0.53,34
86288,30,14,0.17,53
99919,1,1,0.0,2
58601,83,81,0.1,547
48371,103,80,0.12,167
171,389,370,0.01,5235
57644,85,85,0.44,230
38900,122,122,0.16,1831
8111,238,43,0.06,36
91833,24,5,0.0,6
797,309,300,0.12,868
99786,22,21,0.15,111
10982,234,228,0.23,1441
14282,220,210,0.3,462
66191,66,66,0.44,212
30914,146,146,0.17,2429
94637,25,25,0.12,865
101901,1,1,0.0,2
18374,208,182,0.26,338
75629,45,45,0.07,512
701,319,193,0.35,251
75233,45,32,0.27,44
95827,25,24,0.35,23
24218,178,139,0.09,1288
90578,25,25,0.06,66
69227,57,21,0.73,11
78238,39,23,0.28,32
88765,29,29,0.26,248
18375,209,194,0.14,741
101501,1,1,0.0,1
13094,224,215,0.09,2470
62429,58,58,0.05,1486
100676,1,1,0.0,2
74046,47,47,0.1,348
38571,123,106,0.41,253
86387,31,31,0.03,348
7319,248,232,0.09,2499
85199,33,26,0.93,28
6098,254,248,0.13,1497
23753,182,180,0.36,434
81768,22,22,0.37,163
69789,58,58,0.22,708
14250,220,175,0.39,934
63716,71,59,0.03,687
97212,9,9,0.55,11
99753,1,1,0.0,1
100115,7,4,0.36,11
99764,1,1,0.0,2
100313,23,23,0.02,717
75366,45,31,0.42,45
4003,270,264,0.14,1674
263,382,368,0.18,2800
66917,63,57,0.42,205
83549,35,34,0.42,57
98341,3,3,0.0,1
13292,224,149,0.1,399
99768,1,1,0.0,1
99323,23,23,0.07,431
100247,2,2,0.0,0
101435,1,1,0.0,1
80018,23,20,0.81,32
93977,25,25,0.04,316
32960,138,138,0.03,6311
192,387,378,0.17,1344
66027,66,66,0.13,1801
79061,41,35,0.08,83
18639,207,201,0.26,526
99769,1,1,0.0,1
3999,269,240,0.06,6470
100379,23,23,0.24,687
100116,23,23,0.08,261
39956,121,121,0.12,811
100350,23,23,0.45,58
101568,1,1,0.0,1
100944,1,1,0.0,2
88004,30,29,0.4,179
20123,201,183,0.07,2365
98069,24,22,0.79,42
86420,31,31,0.2,298
74639,46,22,0.37,62
93053,26,20,0.38,113
95132,25,25,0.03,203
96650,24,23,0.08,74
13853,222,216,0.09,2510
60350,78,74,0.62,91
310,373,367,0.09,3413
40220,120,120,0.21,250
61472,77,77,0.08,388
83582,35,23,0.18,39
21443,195,124,0.35,209
40485,119,73,0.24,86
9002,241,225,0.27,934
55400,88,81,0.37,111
91934,26,26,0.45,170
102029,1,1,0.29,404
95563,25,25,0.09,274
101934,1,1,0.0,1
71537,53,53,0.16,532
72693,51,41,0.46,250
69029,60,60,0.07,1038
52826,93,93,0.11,789
58932,82,76,0.12,276
33093,138,138,0.0,6848
72796,51,51,0.09,600
53057,89,69,0.29,118
101577,1,1,0.0,2
43157,115,115,0.02,6573
6989,249,225,0.11,2217
29264,155,153,0.24,445
24413,176,174,0.13,2184
37316,127,92,0.15,1997
100948,1,1,0.0,2
94769,22,22,0.1,153
329,370,364,0.28,2778
37415,127,127,0.02,1815
91173,26,26,0.13,569
55367,88,88,0.12,339
75102,45,39,0.29,202
48,400,371,1.0,6137
87509,30,30,0.02,1041
94671,25,25,0.11,433
60086,80,80,0.17,628
70844,55,55,0.19,656
100050,1,1,0.0,1
101072,1,1,0.0,1
100956,1,1,0.0,1
19166,206,194,0.53,100
94906,25,25,0.14,344
100320,23,23,0.65,85
52397,94,94,0.2,340
702,320,269,0.39,1018
391,358,284,0.23,560
89555,28,28,0.12,282
95825,25,25,0.2,303
46820,108,96,0.4,232
101470,1,1,0.0,1
64409,62,55,0.48,100
568,335,293,0.22,858
56588,87,87,0.18,862
75728,43,38,0.93,42
93713,24,24,0.42,83
8012,247,241,0.31,1449
101608,1,1,0.0,2
34346,135,135,0.13,1385
101570,1,1,0.0,0
64640,69,67,0.17,202
44015,114,112,0.23,291
1005,295,264,0.16,847
76388,44,44,0.18,866
294,377,369,0.08,4872
904,300,292,0.13,1427
100743,1,1,0.0,2
58832,82,80,0.09,242
15569,217,209,0.25,694
87872,26,14,0.07,27
43355,115,72,0.52,103
99758,1,1,0.0,1
97938,24,23,0.02,2153
92724,26,26,0.21,392
21410,196,146,0.17,569
63122,73,73,0.05,1121
55334,66,5,0.14,7
119,393,379,0.3,400
16988,213,130,0.31,196
78533,42,29,0.31,70
75299,45,43,0.35,197
70448,46,43,0.06,122
84572,33,33,0.32,333
63947,70,68,0.04,210
94241,25,25,0.1,297
12500,226,185,0.25,533
101438,1,1,0.0,1
60053,79,55,0.04,70
83978,35,35,0.23,349
94244,10,10,0.18,45
32004,141,111,0.33,132
78501,42,42,0.32,248
98531,18,17,0.24,58
344,366,238,0.02,529
51209,97,70,0.13,1375
91304,26,26,0.34,505
63056,72,57,0.07,96
10355,238,231,0.22,1061
350,363,356,0.24,1044
73320,50,41,0.38,515
76355,44,44,0.4,237
58933,82,82,0.06,3033
101580,1,1,0.0,0
238,383,305,0.28,800
101905,1,1,0.0,2
101055,1,1,0.0,1
100354,23,23,0.67,67
4716,264,104,0.16,506
100955,1,1,0.0,1
49460,101,101,0.05,1037
44477,113,113,0.01,1267
561,336,327,0.02,20083
79722,39,34,0.21,39
99896,1,1,0.0,2
73254,33,25,0.14,71
22202,186,171,0.24,242
83088,36,36,0.07,952
6032,254,248,0.31,965
13854,222,154,0.08,590
2138,286,184,0.09,930
49295,102,102,0.16,1459
39297,122,117,0.54,155
96089,25,25,0.09,95
21015,197,136,0.19,1122
45533,110,110,0.47,329
59822,63,59,0.02,194
100973,23,23,0.24,152
77083,43,43,0.1,1887
101619,21,21,0.31,75
49856,98,61,0.49,69
99918,1,1,0.0,2
97478,11,8,0.1,10
93945,25,21,0.09,58
35732,130,125,0.37,174
96683,24,20,0.36,39
45434,110,107,0.08,448
23093,178,109,0.63,317
23423,182,132,0.24,209
90248,27,27,0.05,694
2204,286,89,0.18,334
57677,85,84,0.14,415
94674,25,25,0.16,327
72296,52,52,0.03,588
43124,115,115,0.02,6605
11545,228,222,0.04,6522
480,344,105,0.12,101
52100,95,95,0.11,955
101931,15,9,0.07,55
28275,158,115,0.15,744
100940,1,1,0.0,1
61736,76,74,0.33,354
38504,123,118,0.05,1662
70019,57,50,0.14,111
81701,38,36,0.26,581
72857,51,51,0.44,437
99027,2,2,0.4,5
91668,25,25,0.16,153
55202,88,81,0.19,157
31872,142,142,0.15,623
90809,27,24,0.24,98
57281,86,52,0.57,65
53585,92,90,0.32,192
52628,93,54,0.57,86
65036,66,43,0.21,58
52793,94,72,0.26,121
83087,24,23,0.25,52
52794,94,70,0.32,104
52629,94,94,0.17,471
52497,93,78,0.33,135
37745,125,106,0.21,580
56291,87,87,0.03,2228
64904,68,68,0.03,6384
100961,1,1,0.0,1
64607,68,61,0.35,151
34676,133,129,0.06,1457
60911,78,58,0.04,226
88037,15,15,0.12,159
80480,39,39,0.02,360
91074,27,27,0.05,260
79127,41,33,0.33,43
18803,207,201,0.25,572
64673,69,61,0.32,198
92096,26,24,0.58,55
27944,148,95,0.0,10
53090,93,63,0.4,63
101204,1,1,0.0,1
101138,23,23,0.38,244
100413,23,23,0.66,82
71504,53,53,0.12,172
80117,39,31,0.4,50
4005,270,250,0.17,2226
26954,153,123,0.54,211
9266,241,189,0.02,11661
100954,1,1,0.0,2
16460,213,207,0.12,1008
19364,205,199,0.13,2094
87972,30,30,0.67,75
18935,206,197,0.34,513
60647,79,63,0.13,103
73088,41,26,0.73,33
36458,128,121,0.22,353
101930,1,1,0.0,2
32102,141,105,0.26,188
55433,88,68,0.15,119
19694,203,156,0.47,577
97049,15,15,0.3,419
100648,1,1,0.0,1
101006,23,23,0.66,71
98696,24,24,0.06,288
101942,1,1,0.0,1
101607,1,1,0.0,1
492,343,85,0.09,204
43025,115,115,0.13,1677
75596,45,45,0.53,152
4019,270,263,0.27,662
37482,126,125,0.06,669
98340,24,23,0.49,68
87740,30,30,0.55,80
92859,26,26,0.37,207
100758,1,1,0.0,2
187,388,273,0.13,918
82031,37,22,0.0,43
101507,1,1,0.0,1
553,337,320,0.34,552
60483,67,67,0.26,229
53,397,391,1.0,5011
22107,186,133,0.18,1071
38999,122,122,0.05,2255
92725,26,26,0.11,85
19002,206,148,0.22,2749
56324,87,87,0.01,2420
900,300,94,0.42,184
77114,43,43,0.04,887
101634,23,20,0.66,70
88367,29,29,0.01,5447
82262,37,37,0.21,554
39428,122,120,0.37,380
692,321,292,0.44,377
53652,92,92,0.14,695
61274,77,77,0.12,733
48833,103,78,0.28,145
79754,40,38,0.3,126
91073,27,27,0.09,282
75662,45,44,0.31,96
99765,1,1,0.0,1
40088,101,33,0.06,36
94836,25,25,0.11,659
98927,24,24,0.37,389
96848,24,24,0.07,2052
77082,43,43,0.3,133
76984,43,43,0.1,766
38834,123,119,0.21,324
22434,185,135,0.25,346
57875,85,85,0.15,496
90908,27,27,0.31,209
33983,136,132,0.05,790
97409,24,24,0.22,121
77774,39,28,0.13,38
3626,277,267,0.14,1182
49889,100,94,0.38,247
72758,51,51,0.12,583
90679,25,25,0.03,239
100756,1,1,0.0,2
33423,121,108,0.54,367
75634,45,45,0.32,459
90546,20,20,0.01,441
91832,26,26,0.11,267
90348,27,27,0.07,420
58238,82,65,0.58,62
724,317,152,0.15,423
343,367,294,0.15,3191
729,316,202,0.44,291
100907,10,10,0.12,59
66127,66,66,0.05,728
77213,43,43,0.26,229
58766,83,83,0.37,209
46655,108,99,0.35,186
86090,32,32,0.49,152
41311,117,104,0.39,337
229,384,378,0.1,2752
72792,50,42,0.15,93
82361,37,37,0.37,228
39298,121,115,0.3,276
86156,32,29,0.21,128
435,352,333,0.17,2522
75433,45,39,0.56,80
101606,1,1,0.0,1
84242,34,34,0.12,325
100016,1,1,0.0,0
41376,117,114,0.23,443
99894,1,1,0.0,2
24227,177,133,0.43,358
57743,84,34,0.27,48
99686,23,23,0.05,164
786,312,286,0.22,681
98432,24,24,0.18,183
764,313,272,0.33,1495
29792,143,143,0.27,1211
62528,74,74,0.28,634
77048,43,43,0.17,2998
58997,77,36,0.15,1684
47777,105,82,0.13,219
35204,130,111,0.44,363
30156,151,150,0.35,713
26987,162,162,0.23,1488
33620,137,137,0.34,1018
30518,149,149,0.23,1054
86255,31,31,0.46,160
95861,25,24,0.02,234
191,387,379,0.17,3499
101897,1,1,0.0,1
101584,1,1,0.0,0
90644,7,7,0.27,55
64871,68,67,0.06,453
39462,122,122,0.39,421
12967,225,183,0.45,199
51605,96,83,0.18,174
90677,27,23,0.55,40
17846,211,205,0.08,1117
262,365,356,0.05,215
3892,275,256,0.15,1096
28241,157,120,0.76,324
11312,230,223,0.16,723
7385,248,242,0.4,1126
4514,265,259,0.24,1695
101904,1,1,0.0,2
46589,108,108,0.36,374
100962,23,20,0.21,39
73451,50,50,0.14,485
454,348,342,0.1,3221
81668,28,28,0.38,307
101509,1,1,0.0,1
44378,113,112,0.16,472
28868,156,156,0.04,11550
86486,31,21,0.33,39
91667,26,26,0.44,27
71834,52,52,0.3,134
55402,87,20,0.19,21
85925,32,32,0.6,186
100643,1,1,0.0,1
51308,96,52,0.29,62
5883,256,244,0.11,1790
74837,46,46,0.35,410
83912,35,32,0.52,50
82628,36,34,0.15,104
50978,97,84,0.27,277
101303,1,1,0.0,2
100651,1,1,0.0,2
54509,90,90,0.19,128
25931,166,164,0.29,384
18936,206,196,0.46,694
722,318,184,0.5,234
35568,131,71,0.47,461
100479,1,1,0.0,1
19661,203,196,0.3,969
19167,206,189,0.34,457
100759,1,1,0.0,1
80052,39,37,0.21,155
97360,24,24,0.02,1512
95365,25,25,0.01,476
25172,171,157,0.36,258
24248,176,82,0.41,71
81767,38,38,0.06,539
80679,39,39,0.41,164
100346,23,23,0.55,56
32465,140,72,0.15,121
100318,23,18,0.5,44
74012,48,45,0.19,134
70382,57,55,0.32,163
10092,239,225,0.02,7657
31971,142,142,0.05,1975
95862,25,19,0.53,17
78171,42,40,0.0,1
50780,97,30,0.57,37
88070,29,27,0.36,81
4257,259,201,0.18,795
894,285,133,0.38,138
82065,37,37,0.23,209
98399,24,24,0.04,802
90216,27,27,0.21,254
38933,114,84,0.2,1516
21179,197,186,0.11,635
101520,23,23,0.42,177
169,389,366,0.11,1925
580,334,120,0.21,165
52398,93,79,0.41,145
94109,23,16,0.17,23
102030,8,7,0.36,11
439,352,346,0.14,3123
93350,26,25,0.29,245
92263,25,25,0.0,105883
99026,23,23,0.31,86
45929,109,105,0.16,431
90512,27,27,0.05,596
97904,24,24,0.09,168
24809,172,146,0.25,282
56193,87,87,0.26,1155
90446,27,27,0.06,846
26393,164,114,0.25,142
38636,106,89,0.52,268
78830,29,29,0.44,97
100946,1,1,0.0,1
93251,20,4,0.0,5
101437,1,1,0.0,1
99389,23,23,0.57,44
95199,25,25,0.11,605
94935,25,24,0.04,45
86354,31,26,0.29,55
46259,109,109,0.05,1317
101900,1,1,0.0,1
4228,267,259,0.27,589
207,385,239,0.39,279
25139,171,161,0.02,13053
96353,24,17,0.46,41
90149,27,27,0.08,2116
89390,11,11,0.0,4
101510,1,1,0.0,1
101050,1,1,0.0,2
94440,25,24,0.13,54
66092,66,66,0.06,2420
264,382,334,0.32,1386
66125,66,66,0.12,937
39923,121,104,0.4,255
69689,59,17,0.0,20
531,331,309,0.13,1414
4680,264,246,0.23,1130
6494,253,247,0.08,3650
75234,45,34,0.18,88
39033,122,122,0.14,1795
37052,116,116,0.18,685
161,390,121,0.17,883
99759,1,1,0.0,1
792,311,293,0.05,2652
100947,1,1,0.0,1
61373,77,77,0.03,1997
61406,77,77,0.02,1735
101948,1,1,0.0,2
63155,73,71,0.63,63
100957,23,23,0.22,148
88632,29,20,0.48,91
75695,44,26,0.07,73
35666,109,85,0.09,871
31541,143,143,0.15,679
50219,96,54,0.47,43
300,360,164,0.02,4548
22499,185,152,0.2,318
19133,206,200,0.13,1541
66521,65,65,0.01,4019
39527,122,122,0.25,483
101613,1,1,0.0,1
75666,45,42,0.41,237
40748,120,120,0.29,514
76817,43,38,0.18,98
81305,38,38,0.28,540
22110,185,157,0.39,197
51275,97,80,0.04,237
47843,104,67,0.49,144
80546,39,38,0.3,226
72794,51,51,0.19,730
758,313,302,0.04,2189
64310,70,70,0.19,298
72958,51,51,0.36,533
61340,77,77,0.18,1616
11050,233,206,0.15,1673
36030,130,130,0.04,1784
395,357,260,0.07,7785
101582,1,1,0.0,2
65961,66,66,0.13,980
23720,180,173,0.46,572
100315,23,21,0.43,54
93086,18,11,0.42,12
33224,137,137,0.02,8887
902,300,242,0.13,3481
47217,107,82,0.12,353
41772,115,52,0.39,88
686,323,315,0.09,1124
53157,93,68,0.1,464
36953,128,128,0.17,3088
51176,96,64,0.29,87
83054,36,36,0.24,160
54740,89,89,0.19,872
52859,93,93,0.05,497
38736,123,121,0.35,482
57017,86,86,0.05,935
63221,73,73,0.06,1920
90017,27,27,0.15,146
93284,26,25,0.36,121
87542,12,12,0.22,150
62396,73,48,0.06,71
99125,23,23,0.51,91
2336,264,214,0.15,3230
30485,149,149,0.08,711
99257,23,9,0.1,29
55499,88,85,0.27,155
70119,51,51,0.19,623
100082,8,5,0.59,17
36294,126,55,0.18,289
48437,103,101,0.22,706
67247,64,64,0.01,7014
94604,24,24,0.2,49
29099,155,152,0.33,1160
54311,91,89,0.1,296
56621,87,87,0.35,268
46424,108,94,0.52,122
77115,43,43,0.02,1276
29396,154,145,0.32,249
46986,106,71,0.53,45
72263,34,28,0.29,62
95430,25,25,0.04,246
4717,264,155,0.14,970
489,342,115,0.56,213
74903,44,40,0.27,96
101518,1,1,0.0,2
75497,45,45,0.31,506
53915,92,90,0.28,290
11444,229,223,0.06,5368
101898,1,1,0.0,1
101614,1,1,0.0,2
468,346,253,0.7,380
532,337,217,0.36,223
19760,201,133,0.29,146
1412,289,107,0.52,63
54278,91,91,0.07,646
31706,142,137,0.18,489
10487,235,222,0.2,1488
92624,26,26,0.22,383
43487,115,96,0.17,441
1036,293,281,0.22,647
72395,50,34,0.3,54
64739,68,41,0.24,88
98366,2,2,0.06,16
74244,47,47,0.36,171
99191,13,13,0.63,52
72329,51,51,0.29,278
85859,32,31,0.39,92
81900,37,37,0.23,175
67610,63,63,0.24,544
63023,73,63,0.31,90
104,394,345,0.06,2386
69854,58,52,0.53,90
260,382,280,0.1,4595
86948,31,31,0.11,725
40682,118,49,0.67,52
98879,24,24,0.21,334
101605,1,1,0.0,1
101469,1,1,0.0,1
61175,78,39,0.37,52
91271,8,7,0.0,11
96518,24,24,0.09,266
83618,35,32,0.45,60
85727,10,10,0.19,333
100959,23,23,0.2,582
87443,30,30,0.07,270
43987,114,107,0.23,721
81240,38,12,0.41,17
66753,65,65,0.04,760
13855,222,215,0.19,923
97014,11,11,0.35,55
755,313,285,0.31,1527
14909,219,200,0.24,429
62000,75,71,0.23,311
77642,43,43,0.01,58070
32135,142,129,0.08,698
92860,26,26,0.13,320
42431,116,85,0.52,145
95693,25,25,0.05,294
100613,1,1,0.0,2
92558,26,25,0.11,363
101514,1,1,0.0,2
41177,117,117,0.16,1197
61142,73,48,0.2,49
85760,32,32,0.55,93
20586,198,188,0.02,6758
76124,44,44,0.26,199
97178,24,24,0.49,55
99891,1,1,0.0,2
43190,112,52,0.43,72
91733,6,6,0.08,144
28208,158,146,0.45,670
716,305,287,0.07,1943
80645,39,39,0.08,323
21,407,397,1.0,7290
77116,43,43,0.03,451
95200,25,25,0.07,1221
823,309,135,0.44,195
26723,164,164,0.09,1197
75530,45,45,0.04,390
101039,20,20,0.26,434
100513,1,1,0.0,2
715,318,312,0.01,21605
680,322,259,0.45,684
31343,144,144,0.03,1762
